centroid-0,centroid-1,area,perimeter,area_bbox,area_convex,axis_major_length,axis_minor_length,eccentricity,extent,solidity
5388.407239819005,11143.488687782805,221,61.49747468305833,352,243,20.774849054035066,14.051419810514343,0.7365648955613702,0.6278409090909091,0.9094650205761317
5410.213304410701,11234.303687635575,1383,207.11984104714452,3068,1601,72.27630747897292,25.459758685513407,0.9359037088294722,0.45078226857887876,0.8638351030605871
5439.522755227552,11200.489544895448,813,152.35028842544403,1677,967,50.80727997839136,21.924003465619233,0.902106702462984,0.4847942754919499,0.8407445708376422
5469.979831932773,11151.457142857143,595,104.8528137423857,928,653,30.543073166773897,25.6255993174964,0.5441333902877725,0.6411637931034483,0.9111791730474732
5460.0,11255.0,25,16.970562748477143,49,25,5.768882040742383,5.768882040742383,0.0,0.5102040816326531,1.0
5388.169863013699,11502.879452054794,730,107.63961030678928,952,768,34.473319135158974,27.291680597292324,0.6109418749862342,0.7668067226890757,0.9505208333333334
5496.58,11501.26,50,26.041630560342618,100,51,10.542527955718203,6.26027989014071,0.8046038013504545,0.5,0.9803921568627451
5441.0,11757.0,25,16.970562748477143,49,25,5.768882040742383,5.768882040742383,0.0,0.5102040816326531,1.0
5417.09381663113,12020.648187633262,469,91.53910524340095,750,511,27.47941152954864,22.58246197806537,0.5697822766112566,0.6253333333333333,0.9178082191780822
5471.455284552845,11968.05487804878,492,98.2670273047588,702,553,27.60307264438274,23.291855414477965,0.5366359671140245,0.7008547008547008,0.8896925858951176
5485.0,12001.0,25,16.970562748477143,49,25,5.768882040742383,5.768882040742383,0.0,0.5102040816326531,1.0
5398.536121673003,12520.622813688213,1315,170.45079348883237,1960,1466,51.18385168992365,35.23224112038606,0.7253817387049476,0.6709183673469388,0.8969986357435198
5481.307692307692,12520.676923076922,130,64.22539674441619,260,188,21.29454704558812,10.947589768736131,0.8577284778151022,0.5,0.6914893617021277
5497.253731343284,12481.432835820895,134,53.25483399593904,240,165,19.69577808640685,9.867225310501423,0.865457849559208,0.5583333333333333,0.8121212121212121
5397.3562834224595,27372.01871657754,1496,160.06601717798213,1886,1575,46.200262493600604,41.87786789004508,0.42232987782981696,0.7932131495227995,0.9498412698412698
5426.76746506986,27311.753493013974,1002,151.03657992645927,1440,1112,44.304141864934074,29.543165310736793,0.7452132153366393,0.6958333333333333,0.9010791366906474
5442.233333333334,27356.566666666666,60,28.041630560342618,110,63,10.491802027420007,7.459660492399765,0.7031930438159306,0.5454545454545454,0.9523809523809523
5493.6392694063925,27357.69406392694,219,61.49747468305833,357,244,19.43230543069627,14.869677213703522,0.643787921668153,0.6134453781512605,0.8975409836065574
5390.255691768826,27624.436077057795,571,116.16652224137047,980,671,35.22821290078103,23.028763141044692,0.756751826797102,0.5826530612244898,0.8509687034277198
5384.544117647059,27540.382352941175,136,59.15432893255071,340,158,22.092449574485656,9.1214301733777,0.9107874936214075,0.4,0.8607594936708861
5480.368953068592,27626.606498194946,1385,149.095454429505,1804,1442,45.89802081565064,39.06754206893482,0.5248716104544584,0.7677383592017738,0.9604715672676838
5476.987623762377,27888.8399339934,1212,203.80613254815978,1984,1522,67.65764560362415,28.01079898961315,0.9102732932219223,0.6108870967741935,0.7963206307490145
5477.148648648648,27782.63963963964,222,58.42640687119285,336,237,20.52403227610037,14.054251746633595,0.7287587864364228,0.6607142857142857,0.9367088607594937
5409.702531645569,28127.259493670885,948,152.35028842544403,1628,1083,42.0240773140744,30.76065527458752,0.6813294121138805,0.5823095823095823,0.8753462603878116
5421.679824561404,28054.904385964914,1140,138.40916292848976,1548,1190,42.23272544431551,34.642837951527156,0.5719561259367033,0.7364341085271318,0.957983193277311
5481.290953545233,28140.354523227383,409,129.75840533340727,924,551,38.20594559073645,17.13177538326351,0.8938299926537231,0.44264069264069267,0.7422867513611615
5673.891019172553,8432.088799192734,991,150.55129855222071,1530,1125,45.65119433585393,30.299603715949836,0.7479812596682557,0.6477124183006536,0.8808888888888889
5745.894545454546,8360.585454545455,275,75.05382386916237,440,314,22.95049124701432,16.373098762633997,0.7007473639388422,0.625,0.8757961783439491
