,Slide ID,Object ID,Object Group,Surface,Perimeter,Convex hull surface,Convex hull perimeter,Circularity,Form factor,Convexity,Roughness,Density,Load,Proximity,centroid-0,centroid-1
0,wsi_013_stratifiad,1,Neuritic plaques,220358.0,1746.5246498757049,221246.0,1727.8022331789996,0.9077980531165868,3860.3103776351813,0.9959863681151297,1.0108359720442412,7.746375395866793e-07,0.011370809312666952,515.049534895389,20305.777226150174,31352.936454920324
1,wsi_013_stratifiad,2,Neuritic plaques,7571.0,434.0,8471.0,340.6073270094249,0.5051073070213494,709.3603523924598,0.8937551646794948,1.2741945506885435,7.746375395866793e-07,0.011370809312666952,250.10822371851813,5711.0843349623565,13161.622969224672
2,wsi_013_stratifiad,3,Neuritic plaques,9085.0,480.0,9930.0,382.34258864173347,0.4955098829490151,898.9609237796337,0.9149043303121853,1.2554186069231603,7.746375395866793e-07,0.011370809312666952,250.10822371851813,5737.239130434783,13410.3598789213
3,wsi_013_stratifiad,4,Neuritic plaques,3752.0,296.0,4063.5,237.59032979010829,0.5381325619187776,416.749359072829,0.9233419465977606,1.2458419509813043,7.746375395866793e-07,0.011370809312666952,313.74158615446964,6050.938432835821,13415.51066098081
4,wsi_013_stratifiad,5,Neuritic plaques,9224.0,500.0,9921.0,392.87664887785314,0.463648810187396,857.7460177186856,0.9297449853845379,1.272664082805929,7.746375395866793e-07,0.011370809312666952,1052.6923257446292,5864.4816782307025,14871.072961838681
5,wsi_013_stratifiad,6,Neuritic plaques,9446.0,552.0,10383.5,411.71465423023443,0.3895647475032712,996.1968420894158,0.9097125246785766,1.3407344002171873,7.746375395866793e-07,0.011370809312666952,316.31239761388326,6857.311348719035,12598.774084268474
6,wsi_013_stratifiad,7,Neuritic plaques,18104.0,716.0,19695.0,554.59653007978,0.4437704300785682,1434.3639762602957,0.9192180756537193,1.2910286328279077,7.746375395866793e-07,0.011370809312666952,316.31239761388326,6632.664494034468,12821.45619752541
7,wsi_013_stratifiad,8,Neuritic plaques,20618.0,714.0,21847.5,590.2169842994814,0.5082296238629911,1543.5256326060498,0.9437235381622612,1.2097245911136132,7.746375395866793e-07,0.011370809312666952,420.54651714400234,8501.091327965854,12933.94577553594
8,wsi_013_stratifiad,9,Neuritic plaques,10236.0,504.0,10955.5,390.52813352895515,0.5063829428405316,847.9821758323727,0.9343252247729451,1.2905600307093668,7.746375395866793e-07,0.011370809312666952,420.54651714400234,8921.631692067214,12936.220691676435
9,wsi_013_stratifiad,10,Neuritic plaques,17204.0,732.0,19574.0,553.5617390713011,0.4034754696494282,1510.7235567248315,0.8789210176765097,1.3223457264731862,7.746375395866793e-07,0.011370809312666952,375.24094636457704,7689.781329923274,13643.135433620087
10,wsi_013_stratifiad,11,Neuritic plaques,8017.0,458.0,8500.0,348.89262320842397,0.4802758967950529,897.3173066669269,0.9431764705882353,1.3127248028009944,7.746375395866793e-07,0.011370809312666952,408.2866996674347,7281.8391542971185,13659.904764874642
11,wsi_013_stratifiad,12,Neuritic plaques,14652.0,600.0,15269.5,469.25246644177787,0.5114512840044183,1235.4177252433547,0.9595599070041586,1.2786294008205166,7.746375395866793e-07,0.011370809312666952,375.24094636457704,7987.723041223041,13871.250546000547
12,wsi_013_stratifiad,13,Neuritic plaques,13247.0,550.0,13893.5,432.7686537855299,0.5503031786063338,955.825264953102,0.9534674488069961,1.2708868703613807,7.746375395866793e-07,0.011370809312666952,560.7317219850534,6841.138257718729,14006.607496036839
13,wsi_013_stratifiad,14,Neuritic plaques,16512.0,656.0,17635.5,511.4086271643024,0.482171864738945,1324.9186001593343,0.9362932720932211,1.2827315871408718,7.746375395866793e-07,0.011370809312666952,413.5763848471797,8957.106044089147,14078.53597383721
14,wsi_013_stratifiad,15,Neuritic plaques,14655.0,580.0,15100.5,453.13925960449035,0.5474439992670442,1147.3610730003354,0.9704976656402106,1.2799597203434467,7.746375395866793e-07,0.011370809312666952,413.5763848471797,8549.369941999317,14147.794165813715
15,wsi_013_stratifiad,16,Neuritic plaques,15282.0,618.0,16075.0,484.70028143075166,0.5028206547078394,1349.9259693626616,0.9506687402799378,1.2750147331785542,7.746375395866793e-07,0.011370809312666952,1127.8512487320893,10136.31946080356,14384.250294464075
16,wsi_013_stratifiad,17,Neuritic plaques,27138.0,792.0,27854.5,615.9763947732362,0.543672466031016,1906.746805716185,0.9742770467967474,1.2857635563966128,7.746375395866793e-07,0.011370809312666952,336.1620858135955,9014.557999852605,14501.295858206206
17,wsi_013_stratifiad,18,Neuritic plaques,24203.0,716.0,25250.0,597.4078260948864,0.5932708638528273,1332.4442227618595,0.9585346534653465,1.1985112493090733,7.746375395866793e-07,0.011370809312666952,336.1620858135955,8762.863591290336,14724.12959137297
18,wsi_013_stratifiad,19,Neuritic plaques,30120.0,830.0,31046.5,644.1509938302529,0.5494252909050635,2214.2822225943223,0.9701576667257179,1.2885177667190282,7.746375395866793e-07,0.011370809312666952,273.59268192972695,7675.039608233732,14954.923373173971
19,wsi_013_stratifiad,20,Neuritic plaques,17639.0,700.0,20078.0,527.8501540667057,0.45236369646261515,1406.6768489818312,0.8785237573463492,1.3261339313951195,7.746375395866793e-07,0.011370809312666952,273.59268192972695,7934.3586654572255,15042.139095186802
20,wsi_013_stratifiad,21,Neuritic plaques,13339.0,556.0,13864.0,450.5571820777639,0.5422300140550987,1089.5146466779133,0.9621321407963069,1.234027604300928,7.746375395866793e-07,0.011370809312666952,410.7223882892725,8565.696566459255,15084.432303770898
