order,size,diameter,radius,average_shortest_path_length,density,graph_clique_number,graph_number_of_cliques,transitivity,local_efficiency,global_efficiency,degree_avg,degree_min,degree_max,degree_qt95,degree_qt75,degree_qt66,degree_qt50,degree_qt33,degree_qt20,degree_qt10,degree_qt05,clustering_avg,clustering_min,clustering_max,clustering_qt95,clustering_qt75,clustering_qt66,clustering_qt50,clustering_qt33,clustering_qt20,clustering_qt10,clustering_qt05,triangles_avg,triangles_min,triangles_max,triangles_qt95,triangles_qt75,triangles_qt66,triangles_qt50,triangles_qt33,triangles_qt20,triangles_qt10,triangles_qt05,degree_centrality_avg,degree_centrality_min,degree_centrality_max,degree_centrality_qt95,degree_centrality_qt75,degree_centrality_qt66,degree_centrality_qt50,degree_centrality_qt33,degree_centrality_qt20,degree_centrality_qt10,degree_centrality_qt05,closeness_centrality_avg,closeness_centrality_min,closeness_centrality_max,closeness_centrality_qt95,closeness_centrality_qt75,closeness_centrality_qt66,closeness_centrality_qt50,closeness_centrality_qt33,closeness_centrality_qt20,closeness_centrality_qt10,closeness_centrality_qt05
18,32,8,4,3.150326797385621,0.20915032679738563,3,16,0.4891304347826087,0.6864197530864197,0.4598428260192965,3.5555555555555554,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,1.85,0.5333333333333332,0.0,1.0,1.0,0.6666666666666666,0.5555555555555554,0.5,0.5,0.4,0.3233333333333333,0.255,2.5,0.0,4.0,4.0,3.0,3.0,3.0,2.0,1.4000000000000004,1.0,0.8500000000000001,0.20915032679738563,0.058823529411764705,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.1764705882352941,0.1764705882352941,0.11764705882352941,0.10882352941176471,0.3300312316140709,0.22077922077922077,0.4358974358974359,0.42663461538461533,0.3801982591876209,0.35185989289332753,0.3333333333333333,0.2932748538011696,0.2759915388683236,0.25304276315789476,0.22324846206425153
28,55,10,5,3.875661375661376,0.1455026455026455,3,30,0.44919786096256686,0.664861111111111,0.3894001427731582,3.9285714285714284,1.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,1.35,0.49047619047619057,0.0,1.0,0.8833333333333329,0.6666666666666666,0.5,0.45,0.4,0.4,0.3233333333333333,0.10500000000000002,3.0,0.0,6.0,5.649999999999999,4.0,4.0,3.0,2.0,2.0,1.0,0.3500000000000001,0.1455026455026455,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.05,0.26813910470025376,0.18120805369127516,0.36,0.3388185654008439,0.30601646198066373,0.2967032967032967,0.27002700270027,0.24770642201834864,0.22096351542027817,0.20011434511434512,0.18163658625068022
9,14,4,2,1.8333333333333333,0.3888888888888889,3,6,0.4864864864864865,0.8271604938271605,0.6597222222222224,3.111111111111111,2.0,6.0,5.199999999999999,4.0,3.333333333333333,3.0,2.0,2.0,2.0,2.0,0.7333333333333334,0.26666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.611111111111111,0.5,0.45333333333333337,0.36,2.0,1.0,4.0,3.5999999999999996,3.0,2.333333333333333,2.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.25,0.75,0.6499999999999999,0.5,0.41666666666666663,0.375,0.25,0.25,0.25,0.25,0.5647109226056595,0.42105263157894735,0.8,0.7261538461538461,0.6153846153846154,0.5860805860805861,0.5714285714285714,0.5333333333333333,0.4884210526315789,0.42105263157894735,0.42105263157894735
