order,size,diameter,radius,average_shortest_path_length,density,graph_clique_number,graph_number_of_cliques,transitivity,local_efficiency,global_efficiency,degree_avg,degree_min,degree_max,degree_qt95,degree_qt75,degree_qt66,degree_qt50,degree_qt33,degree_qt20,degree_qt10,degree_qt05,clustering_avg,clustering_min,clustering_max,clustering_qt95,clustering_qt75,clustering_qt66,clustering_qt50,clustering_qt33,clustering_qt20,clustering_qt10,clustering_qt05,triangles_avg,triangles_min,triangles_max,triangles_qt95,triangles_qt75,triangles_qt66,triangles_qt50,triangles_qt33,triangles_qt20,triangles_qt10,triangles_qt05,degree_centrality_avg,degree_centrality_min,degree_centrality_max,degree_centrality_qt95,degree_centrality_qt75,degree_centrality_qt66,degree_centrality_qt50,degree_centrality_qt33,degree_centrality_qt20,degree_centrality_qt10,degree_centrality_qt05,closeness_centrality_avg,closeness_centrality_min,closeness_centrality_max,closeness_centrality_qt95,closeness_centrality_qt75,closeness_centrality_qt66,closeness_centrality_qt50,closeness_centrality_qt33,closeness_centrality_qt20,closeness_centrality_qt10,closeness_centrality_qt05
9,13,5,3,2.1666666666666665,0.3611111111111111,3,6,0.5172413793103449,0.6419753086419753,0.6106481481481482,2.888888888888889,1.0,4.0,4.0,4.0,3.333333333333333,3.0,2.6666666666666665,2.0,1.8,1.4,0.5555555555555556,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.4444444444444444,0.3333333333333333,0.26666666666666666,0.13333333333333333,1.6666666666666667,0.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.8,0.4,0.3611111111111111,0.125,0.5,0.5,0.5,0.41666666666666663,0.375,0.3333333333333333,0.25,0.225,0.175,0.48347307013973684,0.32,0.6153846153846154,0.5978021978021978,0.5714285714285714,0.546031746031746,0.5333333333333333,0.42328042328042326,0.38095238095238093,0.36876190476190474,0.3443809523809524
14,23,6,3,2.758241758241758,0.25274725274725274,3,11,0.5,0.7581349206349206,0.5073260073260073,3.2857142857142856,2.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,0.6476190476190476,0.3333333333333333,1.0,1.0,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.5,0.37333333333333335,0.3333333333333333,0.3333333333333333,2.142857142857143,1.0,5.0,4.35,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2527472527472528,0.15384615384615385,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.37552471362007733,0.2826086956521739,0.5,0.47678571428571426,0.4298387096774194,0.4070208728652751,0.37142857142857144,0.34259259259259256,0.29695090439276484,0.2844927536231884,0.2826086956521739
4,4,2,1,1.3333333333333333,0.6666666666666666,3,2,0.6,0.5833333333333333,0.8333333333333334,2.0,1.0,3.0,2.8499999999999996,2.25,2.0,2.0,2.0,1.6,1.3,1.15,0.5833333333333333,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.2,0.1,0.05,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.30000000000000004,0.15000000000000002,0.6666666666666666,0.3333333333333333,1.0,0.9499999999999998,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.43333333333333335,0.3833333333333333,0.775,0.6,1.0,0.9624999999999999,0.8125,0.75,0.75,0.75,0.69,0.645,0.6224999999999999
